00001,Przedszkole
00003,Szkoła podstawowa
00004,Gimnazjum
00013,Zasadnicza szkoła zawodowa
00014,Liceum ogólnokształcące
00015,Liceum profilowane
00016,Technikum
00017,Liceum ogólnokształcące uzupełniające dla absolwentów zasadniczych szkół zawodowych
00018,Technikum uzupełniające dla absolwentów zasadniczych szkół zawodowych
00019,Szkoła policealna (ponadgimnazjalna)
00020,Szkoła specjalna
00021,Sześcioletnia ogólnokształcąca szkoła muzyczna I stopnia
00022,Sześcioletnia szkoła muzyczna I stopnia
00023,Czteroletnia szkoła muzyczna I stopnia
00024,Sześcioletnia ogólnokształcąca szkoła muzyczna II stopnia
00025,Sześcioletnia szkoła muzyczna II stopnia
00026,Sześcioletnia ogólnokształcąca szkoła sztuk pięknych
00027,Czteroletnie liceum plastyczne
00029,Dziewięcioletnia ogólnokształcąca szkoła baletowa
00030,Sześcioletnia szkoła sztuki tańca
00031,Czteroletnia szkoła sztuki cyrkowej
00032,Policealna szkoła artystyczna
00033,Szkoła pomaturalna bibliotekarska
00034,Kolegium nauczycielskie
00035,Nauczycielskie Kolegium Języków Obcych
00036,Ośrodek politechniczny
00037,Pałac młodzieży
00038,Młodzieżowy dom kultury
00039,Ognisko pracy pozaszkolnej
00040,Międzyszkolny ośrodek sportowy
00041,Ogród jordanowski
00042,Pozaszkolna placówka specjalistyczna
00043,Szkolne schronisko młodzieżowe
00044,Placówki artystyczne (ognisko artystyczne)
00045,Centrum Kształcenia Praktycznego
00046,Centrum Kształcenia Ustawicznego ze szkołami
00047,Ośrodek dokształcania i doskonalenia zawodowego
00048,Poradnia psychologiczno-pedagogiczna
00049,Poradnia specjalistyczna
00050,Specjalny Ośrodek Wychowawczy
00051,Specjalny Ośrodek Szkolno-Wychowawczy
00052,Ośrodek Rewalidacyjno-Wychowawczy dla upośledzonych umysłowo
00053,Młodzieżowy Ośrodek Wychowawczy
00054,Młodzieżowy Ośrodek Socjoterapii ze szkołami
00055,Bursa
00056,Dom wczasów dziecięcych
00057,Placówka doskonalenia nauczycieli
00058,Biblioteki pedagogiczne
00059,Publiczna placówka opiekuńczo-wychowawcza w systemie pomocy społecznej
00060,Zakład poprawczy
00061,Schronisko dla nieletnich
00062,Rodzinny ośrodek diagnostyczno-konsultacyjny
00063,Publiczny ośrodek adopcyjno-opiekuńczy
00064,Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty
00065,Kolegium Pracowników Służb Społecznych
00066,Szkoła pomaturalna animatorów kultury
00067,Delegatura
00068,Internat
00069,Czteroletnia szkoła muzyczna II stopnia
00070,Dziewięcioletnia szkoła sztuki tańca
00073,Szkoła specjalna przysposabiająca do pracy na podbudowie 8-letniej szkoły podstawowej
00074,Centrum Kształcenia Ustawicznego - bez szkół
00075,Niepubliczna placówka kształcenia ustawicznego i praktycznego
00076,Młodzieżowy Ośrodek Socjoterapii bez szkół
00080,Zespół wychowania przedszkolnego
00081,Punkt przedszkolny
00082,Poznańska szkoła chóralna 
00083,Niepubliczna placówka kształcenia ustawicznego i praktycznego ze szkołami
00090,Bednarska Szkoła Realna
00100,Zespół szkół i placówek oświatowych
00101,Minister
00102,Kuratorium oświaty (wraz z delegaturami)
00103,Jednostka Samorządu Terytorialnego
00104,ZEAS (zespół obsługi ekonomiczno-administracyjnej szkół)
00105,Specjalistyczna jednostka nadzoru
00106,Organ sprawujący nadzór pedagogiczny nad zakładami poprawczymi(…)
00107,Centralna Komisja Egzaminacyjna
00108,Okręgowa Komisja Egzaminacyjna
